TradingName,Date
T/A: T & G Parkinson,2018-04-06
T/A: M Holmes & Sons,2018-04-06
T/A: G Beresford & Son,2018-04-09
MR W B COOK,2018-04-09
P M & Mrs J E Davies,2018-04-09
PENHILL FARM FERRYSIDE LTD,2018-04-09
T H & Mrs M B Gibbon,2018-04-09
T H & Mrs M B Gibbon,2018-04-09
G A G EVANS & SON,2018-04-09
T/A Applebys,2018-04-09
R H & I J Kennerley,2018-04-09
J W & J Holland,2018-04-09
M/S W CHAPMAN & SONS,2018-04-10
T/A: N & J MCLINTOCK,2018-04-10
A R J CYSTER & SONS,2018-04-10
S G LEE & SONS,2018-04-10
C S & J PRINCE,2018-04-10
T S & C I JERMAN,2018-04-10
T/A: TC Alderson & Son,2018-04-10
J LL BRAUNTON,2018-04-10
T W & M JONES,2018-04-10
M W ROBERTS & CO,2018-04-10
D S & E J LE MAY,2018-04-10
T M & J M BOWES,2018-04-11
T & A Hack,2018-04-11
MR P A JONES,2018-04-11
T/A: Plainspot Farm,2018-04-11
T/A: Sturart Cock,2018-04-11
P Kerley Contractor Ltd,2018-04-11
C R WILDBORE & SONS,2018-04-11
D N Bennett & Son,2018-04-11
M/S W J & C M LESTER,2018-04-11
Lewis Bros,2018-04-11
R H Lewis & Son,2018-04-11
J R WILLIS FARMS,2018-04-11
R & S BRADLEY,2018-04-11
"J, M & N J PEACOCK",2018-04-11
T/A: J H & J L Gibson,2018-04-11
"M W, P R, P J & R J Lemmey",2018-04-12
"M W, P R, P J & R J Lemmey",2018-04-12
D C BARTLETT,2018-04-12
D C BARTLETT,2018-04-12
M/S L & C M HARRISON & SON,2018-04-12
S M Gilman & Partners,2018-04-12
J R Hockenhull & Sons,2018-04-12
MRS E R TERRY & SONS,2018-04-12
M & C Davies Ltd,2018-04-12
T/A: Rock View,2018-04-12
T/A: D Middleton & Son,2018-04-12
MR E A COTTRELL,2018-04-12
GRAHAM WARD FARMS LTD,2018-04-13
Tavenor Farming Limited,2018-04-13
Mr H E & Mrs J M Davies & Sons,2018-04-13
DAWSON BROS,2018-04-13
S A WAYNE,2018-04-13
J H &  V J   TAYLOR,2018-04-13
MESSRS J G GARDHOUSE,2018-04-13
C HORNSBY & J ROUND,2018-04-13
MESSRS F W & J ARMSTRONG,2018-04-13
H V WRIGHT & SON LTD,2018-04-13
C R DUTTON & SONS,2018-04-13
W E NICHOLLS & CO.,2018-04-13
Maes Gwyrdd Limited,2018-04-14
Hugh Dibble,2018-04-16
T/A: Oakbrook Farm,2018-04-16
T/A:W & MM Case and Sons,2018-04-16
T/A: Laneside Farm Partnership,2018-04-16
R.W. Rolle,2018-04-16
R S & WA HOWARTH,2018-04-16
J A SIMPSON,2018-04-16
EARL OF PLYMOUTH ESTATES,2018-04-16
Mr C W Morris,2018-04-16
D T Edgerton,2018-04-16
E & I G Davies,2018-04-16
MR J LUND & SON,2018-04-16
D B & M E Williams,2018-04-16
G D Thomas & Son,2018-04-16
Birdcombe Farm Ltd,2018-04-16
D D & C A Brooke,2018-04-16
M O & I G HUGHES,2018-04-17
DAVIES BROS,2018-04-17
E R JONES & PARTNERS,2018-04-17
T SMITH & SONS LTD,2018-04-17
T/A: BARNOWL JERSEY STUD,2018-04-17
GM & HJ FERN,2018-04-17
E P Davies & Son,2018-04-17
E P Davies & Son,2018-04-17
MR JOHN GARTON FENNEY,2018-04-17
RAY BROWN & PARTNERS,2018-04-17
T/A: E T Tomlinson & Son,2018-04-17
T/A: Heath Farm Partnership,2018-04-17
Beechfall Golden Guernsey Goats,2018-04-17
T/A: R M & E Powell,2018-04-17
T/A: CP & RY Goodfellow,2018-04-18
T/A H M & D P Vaughan & Sons,2018-04-18
GOTT & ROBINSON,2018-04-18
T/A: DL & CRJ Diepenbroek,2018-04-18
W A & S E Grant Ltd,2018-04-18
R WAIN & SONS LTD,2018-04-18
R WAIN & SONS LTD,2018-04-18
MR R T ROBINSON,2018-04-18
H WRIGHT & SONS,2018-04-18
T J & J M POWLEY,2018-04-18
MR F C BROWN,2018-04-18
R T F MARSHALL,2018-04-18
R W & R WALKER,2018-04-18
J H & J E TAYLOR,2018-04-18
M/S J & D MARTIN,2018-04-18
Messrs H Noble & Sons,2018-04-18
M/S EA & RS BELL,2018-04-18
J & M L CLARK,2018-04-18
M/S J PAISLEY & SONS,2018-04-18
MR D.G. GUEST,2018-04-18
D J & S J MILLS,2018-04-18
MISS J H BARRY,2018-04-18
"R C, R I & A R PRATT",2018-04-18
M T  PARTINGTON,2018-04-18
F S DANN & SON LTD,2018-04-18
J J B Powell & Sons,2018-04-18
Mrs P Mathias & Sons,2018-04-18
Mr A E & Mr L E Morgan,2018-04-18
Messrs Morris,2018-04-18
M/S J & D ROBERTSHAW & SON,2018-04-18
J H & D S KIRKHAM,2018-04-18
Mrs P Mathias & Sons,2018-04-19
T G & G M Morgan,2018-04-19
J F TEMPLE & SON LTD,2018-04-19
TOMPKINS & SONS,2018-04-19
A J BENNETT,2018-04-19
T C & P W CANDY,2018-04-19
G R  & C L HILL,2018-04-19
MR P J ANDREWS,2018-04-19
STEPHEN FURNIVAL,2018-04-19
W F FARMS,2018-04-19
T/A: Hancocks Meadow Farm,2018-04-19
A & T James,2018-04-20
J R Brooks Farming / Moat Farm,2018-04-20
K W AND B HARRISON,2018-04-20
M/S J WHITEFORD & SONS,2018-04-20
MR N G & MRS J SREAD,2018-04-20
J TAYLOR,2018-04-20
MESSRS BAXTER,2018-04-20
J & S WALKER,2018-04-20
GILCOMBE FARM,2018-04-20
JOHN BAILEY & SONS,2018-04-20
A W & D GILMAN LTD,2018-04-20
S J Palmer,2018-04-20
R EVANS & SON,2018-04-20
PARRY BROS,2018-04-20
H LL WILLIAMS & CO.,2018-04-23
T/A Applebys,2018-04-23
T/A  D A AND J L BENNION,2018-04-23
T/A: W S BURROW & SON,2018-04-23
N R & S L M GREEN,2018-04-23
H. G. Robinson & Sons Limited,2018-04-23
T/A: Messrs Ferraro,2018-04-23
T/A: MEG & EM Bennett & Sons,2018-04-23
I M Cochrane,2018-04-23
T/A: ME & ME Davenport,2018-04-24
T/A: J M & A E Wallbank & Sons,2018-04-24
T/A: Peter Hill & Son,2018-04-24
T/A: M J & K E Kenyon,2018-04-24
M W; D M; DJ & L J Grigg,2018-04-24
T/A: Alex Wilson-North and Claire Wilson-North,2018-04-24
H & A STEPHENSON,2018-04-24
J E WALTON & SONS,2018-04-24
T W HOLDEN & SON,2018-04-24
A K & B M ROBINSON & SON,2018-04-24
T/A: Pulford Farm Dairies,2018-04-24
G N B Farm Ltd,2018-04-24
F W READ & SONS LTD,2018-04-24
T/A: A M Duguid & Son,2018-04-24
BRIAN HAIGH,2018-04-24
Joseph D Evans,2018-04-24
T/A: Delph House Farm,2018-04-25
N Shaw & Sons,2018-04-25
T/A: B & H GRIFFIN,2018-04-25
MR D W BARBER,2018-04-25
R A Fisk & Sons,2018-04-25
R H Lewis & Son,2018-04-25
Lewis Bros,2018-04-25
A S & S MORGAN,2018-04-25
M B JONES & PARTNERS,2018-04-25
Olive Farm (Babcary) Ltd,2018-04-25
B R & E M HALL,2018-04-25
MR A F AND MRS M BRANTON,2018-04-25
R & W GIDLOW,2018-04-25
ROTHERFIELD FARMS,2018-04-25
SIMON BANFIELD FARMS,2018-04-25
J & K House,2018-04-25
J W & T/A: P Marsh & Son,2018-04-25
A S & K M JACKSON,2018-04-25
MR J T PARKIN,2018-04-25
A G THREADGOLD,2018-04-25
MESSRS TWEEDIE,2018-04-25
M/S J ARMSTRONG,2018-04-25
MESSRS R J & F M GRIERSON,2018-04-25
T/A: T P W Uglow,2018-04-25
OAK TREE COTTAGE,2018-04-25
T/A: Sturart Cock,2018-04-25
T/A: MEG & EM Bennett & Sons,2018-04-25
MONARCH FARMS,2018-04-25
P & A Wakeham,2018-04-25
T/A: Hancocks Meadow Farm,2018-04-25
T/A: Kingshay Dairy Centre,2018-04-26
T/A: Rock View,2018-04-26
T/A: D & L Rawsthorn Farm,2018-04-26
Susan Root,2018-04-26
M/S H L BANBURY & SON,2018-04-26
F J & G T HANNAM & SONS,2018-04-26
T/A: Carpenters Hill Farm,2018-04-26
W SALT & SON,2018-04-26
W P HURD,2018-04-26
M/S E V POWELL & SON,2018-04-26
W J AND M E WEALSBY,2018-04-26
Wesbil Ltd,2018-04-26
Wesbil Ltd,2018-04-26
R R FRANCIS,2018-04-26
F Jackson & Son,2018-04-27
T E R Morris & Sons,2018-04-27
G E & W J POUNTNEY,2018-04-27
CHATCULL FARMS LTD,2018-04-27
J B PLANT,2018-04-27
MR D.G. GUEST,2018-04-27
R J & G M ASTON,2018-04-27
MESSRS T J DANIEL,2018-04-27
H & M H GREENAWAY,2018-04-27
John G George,2018-04-27
"R J, B C & N W J Monies",2018-04-27
"E M, S & R J Edge",2018-04-27
MESSRS D T & G YOUNG,2018-04-27
M/S G & E BELL & SON,2018-04-27
M/S J G & M E HARRINGTON & SON,2018-04-27
S M WESTON & SONS,2018-04-27
R J & D L Morgan & Sons,2018-04-27
Panta Farm,2018-04-27
T/A: S W Bailey,2018-04-27
Dyfi Dairy,2018-04-30
WA a ME Davies Cyf,2018-04-30
W SHONE & SONS,2018-04-30
E BLOCKLEY,2018-04-30
M T  PARTINGTON,2018-04-30
H M Jones & Partners,2018-04-30
E & MRS S E G THOMAS,2018-04-30
J S E & M & H L OWEN,2018-04-30
MESSRS R H & S P MORGAN,2018-04-30
C R WILDBORE & SONS,2018-04-30
C R WILDBORE & SONS,2018-05-01
I EVANS,2018-05-01
G M & P E JONES & SON,2018-05-01
S R MACHIN (CLOY HALL) LTD,2018-05-01
S R Lewis & Son,2018-05-01
C P BUTTON LTD,2018-05-01
R & K F DUMELOW,2018-05-01
R & K F DUMELOW,2018-05-01
P M Babey & Son,2018-05-01
REX PATERSON (FARMS) LTD,2018-05-01
B & J HILSDON,2018-05-01
T/A: Pilkington Farms Limited,2018-05-01
T/A: Peter Hill & Son,2018-05-01
"W L, G V & W L PRICE",2018-05-01
T/A: Hampshire County Council,2018-05-01
T/A: J. B. Statton,2018-05-02
"M W, P R, P J & R J Lemmey",2018-05-02
"R C, R I & A R PRATT",2018-05-02
R W & R WALKER,2018-05-02
W J SESSIONS & SON,2018-05-02
MR S J D HARRIS & SONS,2018-05-02
GRAHAM G SMALE,2018-05-02
MESSRS W HODGSON & SONS,2018-05-02
"D T, G R & B D Rees",2018-05-02
A L V Thomas,2018-05-02
R W & F E Suckley & Son,2018-05-02
HOLE & SONS,2018-05-02
MR D M SUTHERLAND,2018-05-02
W J Weeks & Son,2018-05-02
D V & M E Sweet & Son,2018-05-03
T/A: Park House Dairy Limited,2018-05-03
SHORTWOOD DAIRY LTD,2018-05-03
N & J M TOMKINSON,2018-05-03
J E Mansell & Sons,2018-05-03
P C M & N M PUGH,2018-05-03
"D W T, E G & P W Jones",2018-05-03
G. Manning & A. Boulton,2018-05-03
JOHN S PILE (FARMS) LTD,2018-05-03
M T Rees,2018-05-03
T/A: RP Granville & K J Granville,2018-05-03
T/A: Barrowland Farm Partnership,2018-05-03
T/A: P M & U J Deighton,2018-05-03
Evolution Farming Limited,2018-05-03
T/A: P H & D A Winter,2018-05-03
T/A: Martyn Eastham and Claire Chippindale,2018-05-03
T/A:W & MM Case and Sons,2018-05-04
T/A: CP & RY Goodfellow,2018-05-04
R.W. Rolle,2018-05-04
Green Meadow Farm Ltd,2018-05-04
E C & A A & S A E Waters,2018-05-04
T/A: W E Organic Dairies,2018-05-04
T/A: S J & J Hodgson & Son,2018-05-04
MESSRS F W & J ARMSTRONG,2018-05-04
M/S EA & RS BELL,2018-05-04
M/S LB & JH MONKHOUSE,2018-05-04
F S DANN & SON LTD,2018-05-04
N & J M TOMKINSON,2018-05-04
T/A: Park House Dairy Limited,2018-05-08
MESSRS M L & J M RICHARDSON & SONS,2018-05-08
R G & A & R T LLOYD,2018-05-08
D L & G L LIGHTFOOT,2018-05-08
T H & K JONES & SONS,2018-05-08
S R MACHIN (CLOY HALL) LTD,2018-05-08
S R MACHIN (CLOY HALL) LTD,2018-05-08
MESSRS E J HODGSON & SON,2018-05-08
A E & M K HAYHURST,2018-05-08
D E & S M MOORHOUSE,2018-05-08
THOMAS PARKINSON,2018-05-08
A B & J PARKINSON & SONS,2018-05-08
B J & M TOMLINSON & SON,2018-05-08
PEMBERTON'S DAIRIES,2018-05-08
T/A: T & G Parkinson,2018-05-08
M J & J E Wade,2018-05-08
MR P A JONES,2018-05-09
T/A: Henfryn Farm,2018-05-09
MR SIMON CRANK AND MRS RUTH ELIZABETH CRANK,2018-05-09
R WAIN & SONS LTD,2018-05-09
CHAPEL FARM NEWQUAY LTD,2018-05-09
J A & L S M TRIPCONEY,2018-05-09
I C EDWARDS,2018-05-09
D D & C A Brooke,2018-05-09
G D Thomas & Son,2018-05-09
T/A  D A AND J L BENNION,2018-05-09
S J Palmer,2018-05-09
M H W Powell & Son,2018-05-09
R D & C J BENBOW,2018-05-09
G V SPARKES AND SONS,2018-05-09
R T PEARCE,2018-05-09
B J STAINER & SONS,2018-05-09
S A WAYNE,2018-05-09
D S HARRISON,2018-05-10
B S NEWTH & SON,2018-05-10
J E ALSTON (UPHALL),2018-05-10
J E ALSTON (UPHALL),2018-05-10
R P & J L JARVIS,2018-05-10
BRIAN HAIGH,2018-05-10
J & R PENNINGTON,2018-05-10
T A WILLS,2018-05-10
A K & A D Parker Ltd,2018-05-10
D & K J BRAGG,2018-05-10
R J & G M ASTON,2018-05-10
T/A Hooper Farms,2018-05-10
T/A: R Pryor and Son,2018-05-10
T/A: RP Granville & K J Granville,2018-05-10
JACMAR DAIRY GOATS,2018-05-10
D C & W A Thomas,2018-05-10
T/A: E T Tomlinson & Son,2018-05-11
T/A: Sutton Hall Farms,2018-05-11
Halton Farms Ltd,2018-05-11
C E RUDGE & SONS LTD,2018-05-11
T/A: Blue Sky,2018-05-11
A G & L E GIFFORD,2018-05-11
F J  & D G FRANCIS,2018-05-11
R J FLETCHER & SON,2018-05-11
T/A: Edgar and Son,2018-05-11
R G & W Whitfield Ltd,2018-05-11
MR P E ROBINSON,2018-05-11
"M/S J, W, &  A CARRUTHERS",2018-05-11
T SMITH & SONS LTD,2018-05-11
C A OLIVER & SON,2018-05-11
Jon Appleby and Joy Appleby,2018-05-11
R T Smith & Son,2018-05-11
W & M R FISHER & SONS,2018-05-11
A D & P J MOSELEY,2018-05-11
HUDSON FARMING,2018-05-12
Tavenor Farming Limited,2018-05-12
T/A: G Beresford & Son,2018-05-14
T/A: H S Bourne,2018-05-14
R L Jones & Son,2018-05-14
Emma's Dairy,2018-05-14
T/A: J & B RICHARDS,2018-05-14
D D & C A Brooke,2018-05-14
B T & Mrs E E Thomas,2018-05-14
A & S Griffiths,2018-05-14
J E A Owens & Partners,2018-05-14
EARL OF PLYMOUTH ESTATES,2018-05-14
J & M OSBORN & SON,2018-05-14
D & D WESTOBY & SONS,2018-05-14
R K & S M Heard Ltd,2018-05-15
G R & T G Bond,2018-05-15
T H COPE & SON,2018-05-15
J LL BRAUNTON,2018-05-15
F M & B GRIFFITHS,2018-05-15
J R WILLIAMS,2018-05-15
Mr William A E Fox,2018-05-15
T/A: CRT PIERREPONT FARM,2018-05-15
T/A: L J T G Goaman & Sons,2018-05-15
T/A: Houghton Organic Farm,2018-05-15
T/A: Seabear Limited,2018-05-15
Devon County Show,2018-05-16
T/A: J W Lodge,2018-05-16
P A & P J ORMEROD,2018-05-16
T/A: RP Granville & K J Granville,2018-05-16
T/A: DL & CRJ Diepenbroek,2018-05-16
J Wainwright & Sons,2018-05-16
G M & P E JONES & SON,2018-05-16
Neuaddlwyd Farms,2018-05-16
R W & F E Suckley & Son,2018-05-16
Mr C W Morris,2018-05-16
M R & K M Pring,2018-05-16
HOSKINS PARTNERS,2018-05-16
S & E WILKINSON,2018-05-16
J A SIMPSON,2018-05-16
A & J  CARR & SON,2018-05-16
F J & R COAR,2018-05-16
J H & J E TAYLOR,2018-05-16
MESSRS C HARRINGTON,2018-05-16
M/S T T & J E MASON,2018-05-16
MR J J GRAVES,2018-05-16
W BECK & SON,2018-05-16
RAY BROWN & PARTNERS,2018-05-16
N & B MOSELEY &SON,2018-05-16
E BLOCKLEY,2018-05-16
J W GLEAVE,2018-05-17
DENIS & MARGERY LOUISE MOSELEY & SON,2018-05-17
D & P HOLLINSHEAD,2018-05-17
B J & M TOMLINSON & SON,2018-05-17
PEMBERTON'S DAIRIES,2018-05-17
THOMAS PARKINSON,2018-05-17
W SALT & SON,2018-05-17
S BRIGG & SONS,2018-05-17
J H BRADLEY & SONS,2018-05-17
J L P ROBERTS,2018-05-17
R & W GIDLOW,2018-05-18
MESSRS W HODGSON & SONS,2018-05-18
D V & D A CLIFFE & SONS,2018-05-18
MESSRS BAXTER,2018-05-18
J E & B M HUDSON,2018-05-18
S R WARD & SON,2018-05-18
J W & V I NAYLOR,2018-05-18
J E  & P L DONALDSON,2018-05-18
M/S J PAISLEY & SONS,2018-05-18
M/S J PAISLEY & SONS,2018-05-18
M/S  WHITAKER,2018-05-18
Green Meadow Farm Ltd,2018-05-18
E & D E HORN,2018-05-21
MESSRS DIXON,2018-05-21
M/S J & M E HUTCHINSON,2018-05-21
H WRIGHT & SONS,2018-05-21
D R DAVIES & SONS (COURT FARM) LTD,2018-05-21
G D Thomas & Son,2018-05-21
T A Wainwright & Son,2018-05-21
CHANDLER & DICKMAN (FARMS) LTD,2018-05-22
J S MADDERS & SONS,2018-05-22
PARRY BROS,2018-05-22
A Owen Cyf,2018-05-22
G M & D A HUGHES & SON,2018-05-22
G R & T G Bond,2018-05-22
W G LARKWORTHY & SON,2018-05-22
M/S J WHITEFORD & SONS,2018-05-22
MESSRS HUGHES,2018-05-22
T/A: Ganders Goat,2018-05-22
T/A: D Middleton & Son,2018-05-22
E C & A A & S A E Waters,2018-05-23
T/A: RP Granville & K J Granville,2018-05-23
S G D Jones,2018-05-23
T/A: Street Farm Dairy,2018-05-23
W J Weeks & Son,2018-05-23
T/A Applebys,2018-05-23
J J B Powell & Sons,2018-05-23
HOLE & SONS,2018-05-24
BOLEY PARTNERS,2018-05-24
BOLEY PARTNERS,2018-05-24
S J Palmer,2018-05-24
Tavenor Farming Ltd,2018-05-24
"L H, J E & S J LYONS",2018-05-24
T SMITH & SONS LTD,2018-05-24
Williams PFA,2018-05-24
R J Turner & Partners,2018-05-24
SHORTWOOD DAIRY LTD,2018-05-24
OLD PLAW HATCH FARM LIMITED,2018-05-24
A W & J BRANDRETH & SON,2018-05-24
K H RILEY & SONS,2018-05-24
M A & G V MATKIN,2018-05-24
A SUTTON & SON,2018-05-24
K E & H MILLS & SON,2018-05-24
D J & I C PINCOMBE,2018-05-24
G C D M & J C PALMER,2018-05-24
T/A: E T Tomlinson & Son,2018-05-24
R B BETTERIDGE,2018-05-24
E S Burroughs and Sons,2018-05-24
T/A: S W Bailey,2018-05-25
R W & R J Symons,2018-05-25
MR B COOPER,2018-05-25
Mrs F E Adams & Son,2018-05-25
A J COX & SON,2018-05-25
M J C HOCKEN & SONS,2018-05-25
T COWELL,2018-05-25
"M/S J, W, &  A CARRUTHERS",2018-05-25
P C & V KENNY FARMING,2018-05-25
G D Thomas & Son,2018-05-27
E P Davies & Son,2018-05-27
D & D WESTOBY & SONS,2018-05-29
R J FLETCHER & SON,2018-05-29
Ireosa Ltd,2018-05-29
P J IKIN,2018-05-29
LITTLE ACRES GOAT PRODUCTS,2018-05-29
J E Scutt & Son,2018-05-29
R K & S M Heard Ltd,2018-05-29
J B & G R ROSKILLY,2018-05-29
C THOMAS & SON,2018-05-29
I EVANS,2018-05-29
G H GRIFFITH AI GWMNI,2018-05-29
I M & MRS J JONES,2018-05-29
G E & W J POUNTNEY,2018-05-29
W J AND M E WEALSBY,2018-05-29
M J & J E Wade,2018-05-29
T/A:Ellie???s Dairy,2018-05-29
T/A: L J T G Goaman & Sons,2018-05-29
Jenkins & Rees,2018-05-29
T/A: Bibbear Farm,2018-05-30
M W; D M; DJ & L J Grigg,2018-05-30
M/S E L NORRIS & SON,2018-05-30
Gerring partners,2018-05-30
Gerring partners,2018-05-30
A J M EAVIS,2018-05-30
G E Simpson & Son,2018-05-30
GH Kynaston,2018-05-30
T/A: D & S A BODEN,2018-05-30
J M & J K CLIFFE & SON,2018-05-30
MR P J ANDREWS,2018-05-30
"J, M & N J PEACOCK",2018-05-30
A S & K M JACKSON,2018-05-30
BW & LM KIRKBY,2018-05-31
G METCALFE & SON,2018-05-31
M/S J J & D S WALE,2018-05-31
F R CHAVE & SON,2018-05-31
J.HUSBAND & SONS,2018-05-31
J Sprake & Partners Ltd,2018-05-31
L E MILLER & SON,2018-05-31
T/A: M & B Humphry,2018-05-31
G & M Lewis,2018-05-31
T/A: CRT PIERREPONT FARM,2018-05-31
Merryfield Farms Ltd,2018-05-31
Green Meadow Farm Ltd,2018-06-01
North Farm (Pawlett),2018-06-01
R W PARTRIDGE & SONS,2018-06-01
 Hawthorns Farm Limited,2018-06-01
T/A: P H & D A Winter,2018-06-01
T/A: I R & J M Fearon,2018-06-01
M/S E G BLUETT & SON,2018-06-01
E R & MRS I P WARD,2018-06-01
MESSRS T & A POWELL,2018-06-01
R T FITTON & CO LTD,2018-06-01
R G & W Whitfield Ltd,2018-06-01
MR L KYLE,2018-06-01
J L & MRS G L TALLAMY,2018-06-01
M M & T G Mayo,2018-06-01
T A Wainwright & Son,2018-06-04
T E R Morris & Sons,2018-06-04
Mrs M K Manford & Partners,2018-06-04
V J Price & Son,2018-06-04
V J Thomas & Son Ltd,2018-06-04
UWA FARMS,2018-06-04
"D Unit, IBERS, Aberystwyth University",2018-06-04
"M/S I W, M J, E H & E L Jones",2018-06-04
W E Morgan & Son,2018-06-04
"W L, G V & W L PRICE",2018-06-04
T/A: DG & DH Jones,2018-06-04
T/A: JD Musgrave and Son,2018-06-05
T/A: Trenwood Farming Ltd,2018-06-05
W J & Mrs B A Kneller,2018-06-05
Messrs Pennington,2018-06-05
R G FARRAR & SON,2018-06-05
A L V Thomas,2018-06-05
D A & Mrs L M Jones,2018-06-05
J M Davies & Partners,2018-06-05
D R DAVIES & SONS (COURT FARM) LTD,2018-06-05
Mrs F E Adams & Son,2018-06-05
R W & R J Symons,2018-06-05
G C D M & J C PALMER,2018-06-06
REA & SON,2018-06-06
MR Mark Stevens,2018-06-06
PEMBERTON'S DAIRIES,2018-06-06
P J & M R STUART,2018-06-06
MESSRS MURRAY,2018-06-06
M/S J STALKER,2018-06-06
M/S J ARMSTRONG,2018-06-06
MESSRS E J HODGSON & SON,2018-06-06
D E & S M MOORHOUSE,2018-06-06
A E & M K HAYHURST,2018-06-06
F A & J M GRAVES,2018-06-06
Neuaddlwyd Farms,2018-06-06
G H & B LEE,2018-06-06
B N & A J & S M A HARDING,2018-06-06
W Plowden Farms,2018-06-06
J R CHENEY & SON,2018-06-06
M/s H J Richards & Sons,2018-06-06
T/A: Longwood Farm,2018-06-06
Christine Page,2018-06-06
T/A: AP and CH Sharphouse,2018-06-06
T/A: Stone's Dairy,2018-06-06
Charles Wray,2018-06-07
E S Burroughs and Sons,2018-06-07
DOLKEN DAIRY GOATS,2018-06-07
Fen Farm Dairy Limited,2018-06-07
P R & J LAWLEY,2018-06-07
J W C George & Sons,2018-06-07
E & I G Davies,2018-06-07
R R FRANCIS,2018-06-07
Cox-Lake Farm Ltd,2018-06-07
T J GRINDLEY & SON,2018-06-07
T/A: Barkers Farm,2018-06-07
BW & LM KIRKBY,2018-06-07
C R & J M CARR,2018-06-07
C K & J I BEVAN,2018-06-08
R H & S M MASON,2018-06-08
R G BUCKLEY,2018-06-08
T G GWENNAP & SON,2018-06-08
M/S F & E A ROSKILLY & SONS,2018-06-08
ROBINSON PARTNERS,2018-06-08
D S HARRISON,2018-06-08
E & P FRIEND,2018-06-08
MESSRS WALSH,2018-06-11
T/A: W E J Watson,2018-06-11
T/A Hooper Farms,2018-06-11
T/A: G Beresford & Son,2018-06-11
T/A: R M & E Powell,2018-06-11
E & MRS S E G THOMAS,2018-06-11
I C EDWARDS,2018-06-11
Neuaddlwyd Farms,2018-06-11
"R T, M A & W C Richards",2018-06-11
H L & B Evans,2018-06-11
R O Beynon,2018-06-11
G J CARTER,2018-06-11
M/S  WHITAKER,2018-06-11
J & M OSBORN & SON,2018-06-11
F A & J M GRAVES,2018-06-11
DAVID FRYARS & SON,2018-06-11
PEMBERTON'S DAIRIES,2018-06-11
T ER & VJ BOLTON,2018-06-11
J E Scutt & Son,2018-06-11
C R & J M CARR,2018-06-11
B J & C A ELLIS & SON,2018-06-11
A P TOWNSEND,2018-06-12
WALTON FARMS,2018-06-12
C J & J M HUYTON,2018-06-12
R G & A & R T LLOYD,2018-06-12
David C M Andrew & Son,2018-06-12
G JAMES & SONS,2018-06-12
P D WILLIAMS & SONS,2018-06-12
J E & E B STUDLEY & SON,2018-06-12
M E Roberts A'i Meibion,2018-06-12
Joseph D Evans,2018-06-12
J A & J M INSALL,2018-06-12
J A & H E Lutner,2018-06-12
J E Mansell & Sons,2018-06-12
S J Palmer,2018-06-12
T/A:D.W. Hewlett,2018-06-12
T & S Farms,2018-06-12
T/A: Top Paddock Farming Partnership,2018-06-12
G R & T G Bond,2018-06-12
T/A: E T Tomlinson & Son,2018-06-12
D C & W A Thomas,2018-06-13
Emma's Dairy,2018-06-13
Charles Wray,2018-06-13
T/A: Hopewell Farm Foods,2018-06-13
P S Best,2018-06-13
P J & F P Bridge,2018-06-13
"P B, B J, T G & R G Pemberton",2018-06-13
"P B, B J, T G & R G Pemberton",2018-06-13
M W HILL,2018-06-13
MR R G & MRS M G LEADBETTER,2018-06-13
A & J  CARR & SON,2018-06-13
F J & R COAR,2018-06-13
T COWELL,2018-06-13
A P TOWNSEND,2018-06-13
MR Mark Stevens,2018-06-13
D R & L J LEE,2018-06-13
H & L KERLEY & SONS LTD,2018-06-13
MR & MRS S.J DUSTOW & SON,2018-06-13
MR R C HOLLINSHEAD,2018-06-13
G J MOSS & SON,2018-06-13
M/S H L BANBURY & SON,2018-06-14
J W & R I LEE,2018-06-14
M J Frampton & Sons,2018-06-14
F R CHAVE & SON,2018-06-14
M/S J J & D S WALE,2018-06-14
WOODWARD PARTNERS,2018-06-14
R M G & R G SALTER,2018-06-14
C A OLIVER & SON,2018-06-14
V J Thomas & Son Ltd,2018-06-14
A E ROSS & SON,2018-06-14
T/A: Blue Sky,2018-06-14
T/A: C L Bowles-Jones,2018-06-14
T/A: CJ & VJ Tucker,2018-06-14
T/A Foxcombe Hill Farm,2018-06-15
R W PARTRIDGE & SONS,2018-06-15
T/A: D W & J Smith,2018-06-15
W H Dixon & Sons,2018-06-15
Mrs P Mathias & Sons,2018-06-15
Mr A E & Mr L E Morgan,2018-06-15
M V & S A Evans,2018-06-15
"J E, D & G TUDOR",2018-06-15
M W & S E WOOLDRIDGE,2018-06-15
"F K, M & S K KENDALL",2018-06-15
T/A: L V & D F Dakin & Partners,2018-06-15
THE UNIVERSITY OF READING,2018-06-15
FARLEY FARMS,2018-06-15
MESSRS HUGHES,2018-06-15
J D HETHERINGTON & SONS,2018-06-15
E MOSLEY & SONS,2018-06-15
B AND D WILLISON AND SON,2018-06-18
DOUGLAS PARTNERS,2018-06-18
C A MOTTRAM & SONS,2018-06-18
Mr A E & Mr L E Morgan,2018-06-18
Mrs P Mathias & Sons,2018-06-18
MESSRS E BOWES & SONS,2018-06-18
LEWIS JONES PARTNERSHIP,2018-06-18
JP FARMS,2018-06-18
MESSRS GETHIN,2018-06-18
CEFNCOED FARMS,2018-06-18
H L & B Evans,2018-06-18
G J & R & D O Davies,2018-06-18
"T/A: O M, E M & M S Harries & G Rees-Harries",2018-06-18
T/A: E T Tomlinson & Son,2018-06-19
